,,,,,,
service,provider_name,provider_id,period,p25_download_mbps,p75_download_mbps,County
fixed,Imagine,1403,2023-10-01,25.1,81.26,Monaghan
fixed,Net1,8223,2023-10-01,33.82,216.47,Monaghan
fixed,Sky,126995,2023-10-01,50.64,260.71,Monaghan
fixed,Vodafone,3509,2023-10-01,44.37,278.36,Monaghan
fixed,eir,652,2023-10-01,38.91,273.5,Monaghan
fixed,Sky,126995,2023-10-01,70.68,241.73,Offaly
fixed,Virgin Media,28333,2023-10-01,128.96,430.41,Offaly
fixed,Vodafone,3509,2023-10-01,56.97,319.43,Offaly
fixed,eir,652,2023-10-01,39.73,300.89,Offaly
fixed,Digiweb,45274,2023-10-01,45.37,255.05,Sligo
fixed,Sky,126995,2023-10-01,49.05,304.4,Sligo
fixed,Virgin Media,28333,2023-10-01,39.22,284.82,Sligo
fixed,Vodafone,3509,2023-10-01,49.39,283.62,Sligo
fixed,eir,652,2023-10-01,37.17,153.4,Sligo
fixed,Imagine,1403,2023-10-01,17.2,65.33,Tipperary
fixed,Sky,126995,2023-10-01,56.45,295.47,Tipperary
fixed,Virgin Media,28333,2023-10-01,54.99,366.99,Tipperary
fixed,Vodafone,3509,2023-10-01,41.07,270.92,Tipperary
fixed,eir,652,2023-10-01,41.33,272.75,Tipperary
fixed,Digiweb,45274,2023-10-01,34.65,107.71,Waterford
fixed,Sky,126995,2023-10-01,56.24,281.78,Waterford
fixed,Virgin Media,28333,2023-10-01,84.85,365.3,Waterford
fixed,Vodafone,3509,2023-10-01,46.04,326.05,Waterford
fixed,eir,652,2023-10-01,32.88,293.08,Waterford
fixed,Imagine,1403,2023-10-01,17.2,57.47,Westmeath
fixed,Sky,126995,2023-10-01,69.83,339.64,Westmeath
fixed,Virgin Media,28333,2023-10-01,89.47,383.79,Westmeath
fixed,Vodafone,3509,2023-10-01,55.57,326.54,Westmeath
fixed,eir,652,2023-10-01,42.53,311.76,Westmeath
fixed,Digiweb,45274,2023-10-01,19.58,175.44,Wexford
fixed,Imagine,1403,2023-10-01,15.92,62.64,Wexford
fixed,Sky,126995,2023-10-01,48.26,242.31,Wexford
fixed,Virgin Media,28333,2023-10-01,94.41,432.01,Wexford
fixed,Vodafone,3509,2023-10-01,56.45,349.17,Wexford
fixed,eir,652,2023-10-01,40.79,283.04,Wexford
fixed,Digiweb,45274,2023-10-01,29.43,115.63,Wicklow
fixed,Imagine,1403,2023-10-01,16.54,84.49,Wicklow
fixed,Sky,126995,2023-10-01,54.75,281.77,Wicklow
fixed,Virgin Media,28333,2023-10-01,89.7,374.03,Wicklow
fixed,Vodafone,3509,2023-10-01,50.96,285.25,Wicklow
fixed,eir,652,2023-10-01,40.75,254.06,Wicklow
