iccs,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS020111,NR,NO	1571 	1786 	2129 	1968 	2112 	2199 	2239 	2377 	2566 	2781 	2837 	2925 	3093 	3279 
ICCS020111,NR,PL	4815 	5377 	6412 	6610 	7304 	7621 	6957 	8248 	9118 	9721 	10703 	11011 	12559 	: 
ICCS020111,NR,PT	629 	576 	661 	579 	584 	521 	469 	542 	580 	701 	812 	863 	724 	760 
ICCS020111,NR,RO	182 	229 	283 	252 	272 	304 	299 	2279 	17572 	17219 	12299 	12301 	9072 	9457 
ICCS020111,NR,RS	5262 	5796 	6216 	6904 	1285 	1339 	1422 	1506 	1750 	1323 	1309 	1391 	1442 	1582 
ICCS020111,NR,SE	4813 	5290 	5324 	4709 	4685 	4959 	4646 	4570 	4659 	5338 	5684 	5594 	5600 	5332 
ICCS020111,NR,SI	1184 	1443 	1567 	1550 	1398 	1491 	1540 	1657 	1849 	2032 	1974 	2182 	2177 	2135 
ICCS020111,NR,SK	1131 	1271 	1527 	1597 	1619 	1632 	1862 	1988 	2017 	2183 	2227 	2426 	2618 	2702 
ICCS020111,NR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	262330 	238395 	220882 	194059 	: 
ICCS020111,NR,UKC-L	: 	: 	: 	547060 	512976 	466722 	430583 	373464 	321535 	310953 	336867 	366878 	399713 	419119 
ICCS020111,NR,UKM	: 	: 	: 	4049 	3944 	3950 	3714 	2903 	2951 	3643 	4693 	5493 	5621 	79892 
ICCS020111,NR,UKN	: 	: 	: 	1063 	1053 	1111 	1206 	1172 	1093 	1278 	1446 	1451 	1605 	1549 
ICCS020111,NR,XK	316 	274 	275 	304 	331 	363 	393 	818 	653 	3805 	3743 	3760 	3539 	3376 
ICCS020111,P_HTHAB,AL	5.76 	5.34 	5.52 	4.70 	4.35 	4.08 	5.84 	4.55 	: 	: 	5.97 	: 	11.90 	11.45 
ICCS020111,P_HTHAB,AT	40.41 	39.87 	43.29 	42.06 	41.32 	43.60 	40.31 	37.97 	39.36 	47.93 	46.53 	43.18 	48.27 	47.48 
ICCS020111,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.10 	16.97 	13.14 	: 	38.35 
ICCS020111,P_HTHAB,BE	502.93 	481.62 	558.87 	565.92 	552.89 	556.84 	555.13 	629.75 	624.87 	651.76 	716.12 	717.33 	722.26 	715.43 
ICCS020111,P_HTHAB,BG	39.88 	38.22 	39.54 	35.72 	39.58 	34.53 	34.99 	34.96 	33.91 	32.89 	33.41 	40.93 	41.81 	42.78 
ICCS020111,P_HTHAB,CH	7.52 	7.79 	7.46 	6.90 	6.96 	6.88 	7.48 	7.48 	7.07 	7.50 	6.18 	6.25 	6.80 	117.11 
ICCS020111,P_HTHAB,CY	19.98 	15.32 	20.09 	15.27 	16.85 	17.09 	16.88 	15.62 	15.24 	17.17 	19.53 	21.12 	27.48 	21.51 
ICCS020111,P_HTHAB,CZ	34.58 	36.39 	43.98 	46.81 	45.06 	47.85 	49.62 	49.46 	51.14 	49.88 	50.20 	45.75 	45.62 	52.18 
ICCS020111,P_HTHAB,DE	147.12 	156.86 	160.31 	165.14 	166.09 	170.41 	156.90 	155.70 	158.80 	169.40 	173.38 	174.69 	182.07 	630.64 
ICCS020111,P_HTHAB,DK	32.26 	32.13 	33.90 	32.12 	33.12 	30.36 	25.80 	27.24 	26.83 	29.69 	30.50 	31.67 	29.08 	30.37 
ICCS020111,P_HTHAB,EE	5.56 	5.79 	5.89 	6.82 	5.78 	7.07 	7.45 	5.85 	7.50 	7.47 	7.82 	7.73 	7.94 	10.46 
ICCS020111,P_HTHAB,EL	11.11 	11.99 	14.97 	14.77 	14.02 	14.05 	14.96 	13.35 	14.63 	15.26 	12.81 	9.90 	4.30 	3.89 
ICCS020111,P_HTHAB,ES	42.73 	33.81 	42.73 	39.20 	38.87 	37.32 	62.55 	36.07 	35.74 	37.06 	39.19 	53.94 	174.98 	159.41 
ICCS020111,P_HTHAB,FI	30.05 	31.74 	28.71 	29.18 	28.73 	29.01 	28.56 	30.18 	33.00 	34.36 	37.86 	36.89 	39.11 	42.03 
ICCS020111,P_HTHAB,FR	522.86 	470.34 	479.29 	447.15 	415.49 	399.97 	364.25 	360.80 	355.64 	355.00 	355.97 	358.67 	342.07 	293.62 
ICCS020111,P_HTHAB,HR	18.01 	18.31 	18.06 	17.85 	19.21 	18.85 	19.03 	18.04 	19.31 	21.12 	20.35 	22.92 	24.57 	26.16 
ICCS020111,P_HTHAB,HU	: 	: 	: 	: 	: 	: 	126.55 	136.42 	135.00 	140.69 	142.32 	145.48 	127.48 	126.99 
ICCS020111,P_HTHAB,IE	96.24 	85.59 	102.79 	94.11 	85.72 	76.97 	75.17 	68.20 	66.89 	70.11 	77.46 	80.91 	82.23 	86.20 
ICCS020111,P_HTHAB,IS	32.54 	36.25 	27.17 	35.01 	30.44 	22.25 	25.83 	31.01 	28.58 	23.16 	18.84 	17.95 	24.74 	24.41 
ICCS020111,P_HTHAB,IT	100.72 	91.45 	110.16 	109.72 	108.77 	105.72 	107.03 	110.24 	111.11 	117.06 	115.39 	109.59 	111.20 	112.17 
ICCS020111,P_HTHAB,LI	153.63 	221.95 	198.03 	207.27 	219.52 	188.72 	216.77 	323.20 	279.60 	189.17 	215.77 	214.52 	252.89 	248.90 
ICCS020111,P_HTHAB,LT	4.51 	5.37 	5.44 	6.59 	6.25 	7.48 	7.33 	6.93 	7.10 	5.93 	6.75 	7.80 	6.91 	7.81 
ICCS020111,P_HTHAB,LU	86.34 	77.62 	103.76 	101.49 	99.04 	98.74 	108.00 	132.44 	132.76 	128.99 	133.05 	118.71 	476.19 	478.92 
ICCS020111,P_HTHAB,LV	29.00 	31.24 	33.28 	33.40 	33.69 	33.37 	26.89 	28.43 	22.63 	64.80 	55.96 	57.82 	56.18 	61.41 
ICCS020111,P_HTHAB,ME	19.01 	20.74 	18.48 	24.58 	23.62 	20.57 	22.50 	20.76 	27.86 	27.08 	25.97 	31.18 	30.14 	31.84 
ICCS020111,P_HTHAB,MK	: 	: 	: 	: 	7.14 	8.35 	7.44 	10.31 	10.47 	10.24 	11.62 	12.08 	11.13 	10.41 
ICCS020111,P_HTHAB,MT	33.13 	35.56 	40.52 	38.47 	40.41 	44.40 	42.62 	37.61 	51.74 	41.67 	43.62 	43.48 	42.10 	48.06 
ICCS020111,P_HTHAB,NL	26.15 	29.96 	28.01 	26.66 	28.01 	29.57 	30.18 	31.73 	33.25 	37.09 	39.36 	39.85 	398.46 	420.62 
ICCS020111,P_HTHAB,NO	29.14 	33.27 	39.96 	37.16 	40.16 	42.20 	43.34 	46.54 	50.80 	55.78 	57.66 	60.21 	64.45 	69.22 
ICCS020111,P_HTHAB,PL	12.72 	14.17 	16.89 	17.41 	19.23 	20.07 	18.31 	21.70 	23.96 	25.54 	28.12 	28.96 	32.93 	: 
ICCS020111,P_HTHAB,PT	6.11 	5.59 	6.43 	5.63 	5.66 	5.04 	4.52 	5.20 	5.53 	6.65 	7.68 	8.16 	6.85 	7.20 
ICCS020111,P_HTHAB,RO	0.95 	1.18 	1.46 	1.29 	1.38 	1.54 	1.50 	11.43 	87.77 	85.68 	57.43 	57.31 	44.38 	45.83 
ICCS020111,P_HTHAB,RS	76.58 	83.68 	89.26 	98.61 	18.25 	18.92 	19.99 	21.07 	24.37 	18.33 	18.05 	19.04 	19.66 	21.48 
ICCS020111,P_HTHAB,SE	46.37 	51.22 	52.04 	46.53 	46.87 	50.34 	47.66 	47.38 	48.76 	56.29 	60.37 	59.89 	60.50 	58.06 
ICCS020111,P_HTHAB,SI	56.14 	68.85 	75.30 	74.99 	67.67 	72.23 	74.65 	80.39 	89.81 	98.85 	96.28 	106.59 	107.11 	106.20 
ICCS020111,P_HTHAB,SK	20.72 	23.29 	28.02 	29.34 	29.79 	30.08 	34.35 	36.71 	37.28 	40.39 	41.30 	45.01 	48.64 	50.26 
ICCS020111,P_HTHAB,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	351.06 	323.37 	304.41 	271.35 	: 
ICCS020111,P_HTHAB,UKC-L	: 	: 	: 	927.84 	875.94 	802.85 	746.93 	653.16 	566.50 	551.63 	602.28 	661.46 	726.23 	767.40 
ICCS020111,P_HTHAB,UKM	: 	: 	: 	74.47 	72.84 	73.47 	69.34 	54.39 	55.47 	68.65 	88.87 	104.70 	107.75 	1540.54 
ICCS020111,P_HTHAB,UKN	: 	: 	: 	56.66 	56.41 	59.78 	65.29 	63.79 	59.84 	70.26 	79.91 	80.66 	89.86 	87.50 
ICCS020111,P_HTHAB,XK	: 	15.37 	15.31 	16.90 	18.56 	20.49 	: 	: 	: 	: 	208.62 	170.28 	162.29 	156.79 
ICCS020221,NR,AL	4 	5 	4 	5 	2 	4 	8 	2 	5 	2 	2 	9 	5 	10 
ICCS020221,NR,AT	3 	3 	6 	5 	3 	2 	3 	1 	4 	11 	5 	9 	5 	11 
ICCS020221,NR,BA	6 	1 	7 	1 	0 	1 	0 	3 	5 	2 	1 	1 	6 	8 
ICCS020221,NR,BE	: 	: 	: 	: 	1170 	1201 	1171 	1151 	1163 	1185 	1194 	1122 	1080 	1013 
ICCS020221,NR,BG	69 	81 	72 	63 	102 	70 	74 	95 	87 	75 	77 	118 	142 	127 
ICCS020221,NR,CH	5 	6 	5 	8 	3 	3 	4 	1 	3 	5 	4 	0 	4 	2 
ICCS020221,NR,CY	3 	2 	8 	4 	9 	1 	0 	8 	4 	5 	12 	27 	26 	12 
ICCS020221,NR,CZ	9 	11 	12 	13 	17 	18 	12 	15 	20 	17 	11 	16 	12 	15 
ICCS020221,NR,DE	5062 	4565 	4514 	4563 	4625 	4756 	4763 	4988 	4929 	5183 	4922 	4897 	5126 	1857 
ICCS020221,NR,EE	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	3 	0 	0 	2 
ICCS020221,NR,EL	62 	73 	72 	74 	78 	61 	89 	58 	95 	139 	158 	173 	16 	30 
ICCS020221,NR,ES	97 	76 	89 	81 	69 	94 	93 	99 	121 	118 	111 	127 	171 	237 
ICCS020221,NR,FI	2 	3 	1 	4 	2 	3 	1 	1 	1 	1 	3 	1 	3 	0 
ICCS020221,NR,FR	: 	: 	: 	: 	: 	3818 	3818 	2956 	2266 	2117 	2234 	2092 	2085 	2074 
ICCS020221,NR,HR	3 	1 	1 	0 	0 	1 	0 	1 	1 	6 	6 	13 	12 	16 
ICCS020221,NR,HU	4 	11 	5 	3 	3 	5 	11 	3 	7 	9 	12 	18 	14 	11 
ICCS020221,NR,IE	100 	106 	87 	85 	79 	74 	92 	60 	80 	65 	77 	82 	84 	58 
ICCS020221,NR,IT	118 	117 	128 	185 	198 	197 	287 	297 	325 	341 	356 	351 	349 	325 
ICCS020221,NR,LI	0 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ICCS020221,NR,LT	1 	1 	0 	0 	0 	0 	0 	0 	46 	65 	48 	69 	59 	61 
ICCS020221,NR,LU	37 	42 	44 	36 	46 	50 	53 	52 	48 	57 	47 	27 	40 	33 
ICCS020221,NR,LV	6 	12 	13 	10 	4 	8 	17 	17 	18 	1 	7 	8 	9 	3 
ICCS020221,NR,ME	2 	: 	2 	0 	0 	2 	0 	0 	1 	0 	3 	2 	3 	3 
ICCS020221,NR,MK	: 	: 	: 	: 	7 	10 	11 	8 	18 	19 	14 	17 	16 	14 
ICCS020221,NR,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
ICCS020221,NR,NL	455 	520 	510 	425 	400 	420 	435 	415 	525 	600 	575 	650 	625 	760 
ICCS020221,NR,PL	: 	: 	: 	: 	: 	: 	246 	292 	445 	316 	11 	26 	59 	37 
ICCS020221,NR,PT	229 	254 	338 	273 	292 	296 	369 	376 	432 	419 	507 	501 	539 	492 
ICCS020221,NR,RO	379 	328 	390 	304 	311 	346 	295 	290 	310 	391 	307 	321 	: 	265 
ICCS020221,NR,RS	13 	4 	8 	14 	11 	8 	14 	12 	9 	11 	9 	20 	24 	16 
ICCS020221,NR,SI	4 	3 	11 	6 	1 	3 	3 	5 	4 	4 	2 	4 	2 	7 
ICCS020221,NR,SK	55 	52 	93 	92 	89 	102 	85 	83 	78 	7 	4 	4 	6 	3 
ICCS020221,NR,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	13431 	13584 	13586 	12700 	: 
ICCS020221,NR,UKC-L	: 	: 	: 	5223 	4528 	3849 	3019 	2189 	1728 	1388 	1516 	1717 	1860 	2035 
ICCS020221,NR,UKM	: 	: 	: 	268 	233 	230 	228 	234 	253 	227 	219 	260 	269 	319 
ICCS020221,NR,UKN	: 	: 	: 	82 	67 	81 	65 	44 	59 	45 	66 	56 	82 	83 
ICCS020221,NR,XK	10 	15 	21 	16 	16 	22 	24 	26 	34 	33 	31 	43 	50 	46 
ICCS020221,P_HTHAB,AL	0.14 	0.18 	0.14 	0.17 	0.07 	0.13 	0.27 	0.07 	: 	: 	0.07 	: 	0.16 	0.32 
ICCS020221,P_HTHAB,AT	0.03 	0.03 	0.07 	0.06 	0.03 	0.02 	0.03 	0.01 	0.05 	0.13 	0.06 	0.11 	0.06 	0.13 
ICCS020221,P_HTHAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.05 	0.03 	0.03 	0.16 	0.21 
ICCS020221,P_HTHAB,BE	: 	: 	: 	: 	10.31 	10.62 	10.42 	10.29 	10.42 	10.68 	10.85 	10.35 	10.04 	9.50 
ICCS020221,P_HTHAB,BG	1.00 	1.17 	1.03 	0.89 	1.44 	0.98 	1.03 	1.31 	1.19 	1.02 	1.04 	1.59 	1.90 	1.69 
ICCS020221,P_HTHAB,CH	0.06 	0.07 	0.06 	0.09 	0.04 	0.04 	0.05 	0.01 	0.04 	0.06 	0.05 	0.00 	0.05 	0.02 
ICCS020221,P_HTHAB,CY	0.33 	0.23 	0.91 	0.46 	1.05 	0.12 	0.00 	0.93 	0.46 	0.58 	1.43 	3.30 	3.26 	1.55 
ICCS020221,P_HTHAB,CZ	0.08 	0.10 	0.11 	0.12 	0.16 	0.17 	0.11 	0.14 	0.19 	0.16 	0.10 	0.15 	0.12 	0.15 
ICCS020221,P_HTHAB,DE	6.09 	5.49 	5.44 	5.51 	5.60 	5.79 	5.87 	6.18 	6.12 	6.45 	6.14 	5.99 	6.25 	2.26 
ICCS020221,P_HTHAB,EE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.08 	0.00 	0.23 	0.00 	0.00 	0.15 
ICCS020221,P_HTHAB,EL	0.58 	0.68 	0.67 	0.69 	0.72 	0.57 	0.82 	0.53 	0.86 	1.25 	1.42 	1.56 	0.14 	0.27 
ICCS020221,P_HTHAB,ES	0.20 	0.16 	0.19 	0.17 	0.15 	0.20 	0.20 	0.21 	0.26 	0.25 	0.24 	0.27 	0.37 	0.52 
ICCS020221,P_HTHAB,FI	0.04 	0.05 	0.02 	0.07 	0.04 	0.05 	0.02 	0.02 	0.02 	0.02 	0.06 	0.02 	0.06 	0.00 
ICCS020221,P_HTHAB,FR	: 	: 	: 	: 	: 	5.72 	5.74 	4.48 	3.45 	3.24 	3.44 	3.24 	3.24 	3.24 
ICCS020221,P_HTHAB,HR	0.07 	0.02 	0.02 	0.00 	0.00 	0.02 	0.00 	0.02 	0.02 	0.14 	0.14 	0.30 	0.28 	0.37 
ICCS020221,P_HTHAB,HU	0.04 	0.11 	0.05 	0.03 	0.03 	0.05 	0.11 	0.03 	0.07 	0.09 	0.12 	0.18 	0.14 	0.11 
ICCS020221,P_HTHAB,IE	2.00 	2.14 	1.77 	1.76 	1.65 	1.57 	1.97 	1.30 	1.74 	1.41 	1.68 	1.80 	1.85 	1.30 
ICCS020221,P_HTHAB,IT	0.20 	0.20 	0.21 	0.31 	0.33 	0.32 	0.47 	0.49 	0.54 	0.57 	0.60 	0.59 	0.59 	0.55 
ICCS020221,P_HTHAB,LI	0.00 	0.00 	0.00 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS020221,P_HTHAB,LT	0.04 	0.04 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.55 	2.16 	1.57 	2.20 	1.85 	1.90 
ICCS020221,P_HTHAB,LU	5.83 	6.71 	7.17 	5.98 	7.79 	8.68 	9.41 	9.46 	8.94 	10.86 	9.18 	5.38 	8.11 	6.82 
ICCS020221,P_HTHAB,LV	0.32 	0.63 	0.68 	0.52 	0.21 	0.41 	0.86 	0.85 	0.89 	0.05 	0.34 	0.38 	0.42 	0.14 
ICCS020221,P_HTHAB,ME	0.32 	: 	0.32 	0.00 	0.00 	0.32 	0.00 	0.00 	0.16 	0.00 	0.48 	0.32 	0.49 	0.49 
ICCS020221,P_HTHAB,MK	: 	: 	: 	: 	0.34 	0.48 	0.53 	0.39 	0.87 	0.92 	0.68 	0.83 	0.78 	0.68 
ICCS020221,P_HTHAB,MT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
ICCS020221,P_HTHAB,NL	2.60 	2.99 	2.95 	2.47 	2.34 	2.47 	2.57 	2.47 	3.13 	3.59 	3.45 	3.92 	3.79 	4.63 
ICCS020221,P_HTHAB,PL	: 	: 	: 	: 	: 	: 	0.65 	0.77 	1.17 	0.83 	0.03 	0.07 	0.15 	0.10 
ICCS020221,P_HTHAB,PT	2.22 	2.47 	3.29 	2.65 	2.83 	2.86 	3.56 	3.61 	4.12 	3.97 	4.80 	4.74 	5.10 	4.66 
ICCS020221,P_HTHAB,RO	1.97 	1.70 	2.01 	1.56 	1.58 	1.75 	1.48 	1.45 	1.55 	1.95 	1.43 	1.50 	: 	1.28 
ICCS020221,P_HTHAB,RS	0.19 	0.06 	0.11 	0.20 	0.16 	0.11 	0.20 	0.17 	0.13 	0.15 	0.12 	0.27 	0.33 	0.22 
ICCS020221,P_HTHAB,SI	0.19 	0.14 	0.53 	0.29 	0.05 	0.15 	0.15 	0.24 	0.19 	0.19 	0.10 	0.20 	0.10 	0.35 
ICCS020221,P_HTHAB,SK	1.01 	0.95 	1.71 	1.69 	1.64 	1.88 	1.57 	1.53 	1.44 	0.13 	0.07 	0.07 	0.11 	0.06 
ICCS020221,P_HTHAB,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.97 	18.43 	18.72 	17.76 	: 
ICCS020221,P_HTHAB,UKC-L	: 	: 	: 	8.86 	7.73 	6.62 	5.24 	3.83 	3.04 	2.46 	2.71 	3.10 	3.38 	3.73 
ICCS020221,P_HTHAB,UKM	: 	: 	: 	4.93 	4.30 	4.28 	4.26 	4.38 	4.76 	4.28 	4.15 	4.96 	5.16 	6.15 
ICCS020221,P_HTHAB,UKN	: 	: 	: 	4.37 	3.59 	4.36 	3.52 	2.39 	3.23 	2.47 	3.65 	3.11 	4.59 	4.69 
ICCS020221,P_HTHAB,XK	: 	0.84 	1.17 	0.89 	0.90 	1.24 	: 	: 	: 	: 	1.73 	1.95 	2.29 	2.14 
ICCS0301,NR,AL	135 	145 	154 	109 	113 	120 	149 	97 	87 	47 	44 	60 	63 	57 
ICCS0301,NR,AT	4354 	4141 	4509 	4425 	4253 	4391 	3479 	3564 	3780 	4040 	3957 	3496 	3836 	4185 
ICCS0301,NR,BA	194 	194 	186 	87 	158 	143 	164 	134 	137 	: 	: 	: 	: 	: 
ICCS0301,NR,BE	9749 	9046 	9348 	8737 	8634 	7832 	6888 	6897 	11399 	10736 	11300 	10923 	10609 	10779 
ICCS0301,NR,BG	547 	568 	605 	575 	653 	554 	603 	610 	632 	686 	649 	696 	726 	749 
ICCS0301,NR,CH	3050 	2909 	2734 	2843 	3755 	2742 	2710 	2747 	2696 	2581 	2816 	2492 	2988 	: 
ICCS0301,NR,CY	63 	30 	17 	29 	20 	24 	21 	19 	24 	33 	47 	79 	78 	97 
ICCS0301,NR,CZ	1593 	1453 	1560 	1448 	1414 	1393 	1422 	1432 	1417 	1410 	1456 	1337 	1730 	1680 
ICCS0301,NR,DE	41790 	41079 	40724 	40585 	34815 	37166 	34265 	34959 	35330 	36277 	36354 	36566 	49084 	56784 
ICCS0301,NR,DK	6343 	5370 	4895 	5540 	4795 	3793 	2611 	2368 	1843 	1904 	1866 	2010 	1671 	1812 
ICCS0301,NR,EE	393 	310 	355 	296 	259 	271 	284 	199 	240 	248 	180 	178 	254 	268 
ICCS0301,NR,EL	320 	192 	303 	423 	453 	493 	554 	466 	468 	486 	435 	511 	924 	682 
ICCS0301,NR,ES	14918 	11112 	13031 	11612 	9464 	8726 	7496 	9468 	8923 	9008 	9892 	9954 	9723 	10888 
ICCS0301,NR,FI	5016 	4062 	4009 	3537 	3054 	3188 	2772 	2825 	2988 	3234 	3159 	2384 	2099 	2711 
ICCS0301,NR,FR	74227 	56374 	54310 	47475 	39690 	35464 	33283 	30959 	27778 	26783 	23871 	22963 	23253 	24031 
ICCS0301,NR,HR	891 	596 	858 	589 	495 	717 	605 	604 	576 	343 	378 	397 	664 	765 
ICCS0301,NR,HU	473 	504 	385 	541 	588 	600 	1686 	773 	5974 	694 	629 	677 	656 	464 
ICCS0301,NR,IE	2921 	2582 	2847 	2806 	2531 	2545 	2306 	1864 	1778 	1835 	1807 	2133 	1446 	1200 
ICCS0301,NR,IS	653 	520 	658 	551 	476 	498 	442 	419 	731 	: 	: 	: 	: 	: 
ICCS0301,NR,IT	5766 	4918 	5402 	5381 	5115 	4513 	4511 	4754 	4488 	: 	: 	: 	: 	: 
ICCS0301,NR,LI	6 	11 	6 	9 	8 	9 	9 	8 	6 	: 	: 	: 	: 	: 
ICCS0301,NR,LT	147 	126 	190 	219 	226 	208 	263 	317 	255 	441 	529 	514 	362 	368 
ICCS0301,NR,LU	348 	289 	296 	227 	233 	263 	328 	359 	357 	398 	354 	326 	360 	: 
ICCS0301,NR,LV	335 	309 	303 	295 	262 	220 	466 	553 	452 	: 	: 	: 	: 	: 
ICCS0301,NR,ME	36 	27 	37 	23 	23 	22 	26 	31 	25 	24 	24 	44 	47 	40 
ICCS0301,NR,MK	: 	: 	: 	: 	102 	114 	120 	135 	151 	: 	: 	: 	: 	: 
ICCS0301,NR,MT	138 	89 	119 	93 	78 	88 	104 	77 	94 	82 	69 	91 	82 	80 
ICCS0301,NR,NL	4565 	4010 	4300 	5155 	4805 	4735 	4160 	4290 	4420 	4865 	5190 	5470 	10245 	10495 
ICCS0301,NR,NO	5775 	5060 	5065 	5796 	5635 	5560 	4359 	3746 	3526 	3576 	3612 	3318 	3239 	3261 
ICCS0301,NR,PL	3214 	2939 	3560 	3328 	3221 	3155 	2755 	2931 	3055 	: 	: 	: 	: 	: 
ICCS0301,NR,PT	2719 	2434 	2701 	2463 	2538 	2473 	2445 	2331 	2136 	2134 	2182 	2206 	2556 	2251 
ICCS0301,NR,RO	2345 	1914 	1912 	1751 	1528 	1789 	1740 	1516 	1736 	1541 	1325 	1486 	1605 	1566 
ICCS0301,NR,RS	662 	486 	559 	461 	313 	283 	251 	288 	262 	395 	457 	453 	412 	400 
ICCS0301,NR,SE	22598 	21144 	19960 	19272 	18874 	17681 	15237 	16910 	14891 	16174 	16095 	15537 	14998 	14058 
ICCS0301,NR,SI	447 	377 	469 	362 	427 	356 	258 	296 	378 	367 	471 	466 	456 	383 
ICCS0301,NR,SK	591 	621 	698 	667 	705 	656 	645 	683 	645 	: 	: 	: 	: 	: 
ICCS0301,NR,UKC-L	: 	: 	: 	162030 	151120 	122190 	106536 	78787 	46866 	38930 	38298 	39114 	37307 	35310 
ICCS0301,NR,UKM	: 	: 	: 	12705 	11628 	10073 	9314 	8554 	8114 	6734 	6232 	5232 	4850 	4811 
ICCS0301,NR,UKN	: 	: 	: 	3621 	3356 	3182 	2910 	2582 	2153 	1859 	1840 	1868 	1769 	1777 
ICCS0301,NR,XK	: 	: 	153 	363 	441 	99 	94 	95 	201 	142 	125 	122 	137 	161 
ICCS0301,P_HTHAB,AL	4.77 	5.09 	5.38 	3.80 	3.93 	4.17 	5.16 	3.35 	: 	: 	1.55 	: 	1.98 	1.80 
ICCS0301,P_HTHAB,AT	48.74 	46.52 	50.90 	50.16 	48.48 	50.53 	40.57 	41.90 	44.72 	48.05 	47.25 	41.86 	46.02 	50.37 
ICCS0301,P_HTHAB,BE	84.37 	78.51 	81.60 	76.65 	76.06 	69.24 	61.30 	61.69 	102.13 	96.77 	102.72 	100.77 	98.66 	101.05 
ICCS0301,P_HTHAB,BG	7.91 	8.17 	8.64 	8.16 	9.19 	7.74 	8.37 	8.42 	8.68 	9.36 	8.81 	9.38 	9.72 	9.96 
ICCS0301,P_HTHAB,CH	35.18 	33.80 	32.00 	33.51 	44.60 	32.93 	32.90 	33.75 	33.54 	32.44 	35.78 	32.00 	38.79 	: 
ICCS0301,P_HTHAB,CY	7.03 	3.38 	1.94 	3.36 	2.34 	2.83 	2.48 	2.21 	2.77 	3.83 	5.60 	9.64 	9.79 	12.49 
ICCS0301,P_HTHAB,CZ	14.89 	13.59 	14.65 	13.65 	13.37 	13.20 	13.49 	13.62 	13.47 	13.42 	13.88 	12.78 	16.59 	16.24 
ICCS0301,P_HTHAB,DE	50.26 	49.39 	49.05 	49.02 	42.19 	45.23 	42.20 	43.28 	43.88 	45.16 	45.32 	44.70 	59.86 	69.07 
ICCS0301,P_HTHAB,DK	108.61 	92.22 	84.31 	95.83 	83.41 	66.46 	46.13 	42.08 	32.90 	34.12 	33.56 	36.32 	30.32 	33.09 
ICCS0301,P_HTHAB,EE	29.55 	23.33 	26.80 	22.44 	19.69 	20.59 	21.60 	15.12 	18.18 	18.71 	13.54 	13.35 	19.02 	20.02 
ICCS0301,P_HTHAB,EL	3.00 	1.79 	2.83 	3.94 	4.21 	4.57 	5.10 	4.26 	4.25 	4.38 	3.91 	4.59 	8.33 	6.10 
ICCS0301,P_HTHAB,ES	31.47 	23.48 	27.76 	24.89 	20.34 	18.79 	16.14 	20.36 	19.10 	19.24 	21.20 	21.41 	21.03 	23.84 
ICCS0301,P_HTHAB,FI	90.64 	73.52 	72.65 	64.16 	55.49 	58.10 	50.66 	51.82 	55.06 	59.87 	58.77 	44.55 	39.41 	51.15 
ICCS0301,P_HTHAB,FR	109.71 	83.74 	80.85 	70.83 	59.41 	53.22 	50.06 	46.95 	42.34 	41.03 	36.74 	35.51 	36.14 	37.54 
ICCS0301,P_HTHAB,HR	22.07 	14.69 	21.05 	14.35 	11.92 	17.11 	14.32 	14.22 	13.51 	8.02 	8.81 	9.23 	15.41 	17.74 
ICCS0301,P_HTHAB,HU	4.86 	5.16 	3.94 	5.53 	6.00 	6.10 	17.11 	7.83 	60.29 	6.99 	6.30 	6.76 	6.54 	4.62 
ICCS0301,P_HTHAB,IE	58.35 	52.01 	58.05 	58.09 	52.90 	53.85 	49.30 	40.19 	38.73 	40.04 	39.53 	46.88 	31.98 	26.91 
ICCS0301,P_HTHAB,IS	177.06 	142.80 	184.32 	158.13 	140.68 	149.76 	134.31 	128.66 	227.12 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,IT	9.73 	8.25 	9.03 	8.90 	8.44 	7.44 	7.42 	7.82 	7.52 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,LI	15.36 	28.39 	15.63 	23.61 	21.16 	23.92 	24.09 	21.55 	16.29 	: 	: 	: 	: 	: 
ICCS0301,P_HTHAB,LT	5.26 	4.51 	6.80 	7.80 	7.94 	7.20 	9.00 	10.77 	8.58 	14.68 	17.33 	16.36 	11.37 	11.45 
