iccs,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,P_HTHAB,EE	1.35 	2.78 	1.74 	1.90 	2.20 	2.51 	3.80 	3.12 	3.94 	4.75 	4.89 	5.25 	5.24 	6.28 
ICCS0101,P_HTHAB,EL	0.83 	0.68 	0.71 	0.88 	0.72 	0.75 	0.79 	0.96 	1.28 	1.49 	1.65 	1.58 	1.36 	1.29 
ICCS0101,P_HTHAB,ES	0.61 	0.63 	0.71 	0.62 	0.66 	0.63 	0.65 	0.69 	0.65 	0.78 	0.82 	0.86 	0.89 	0.89 
ICCS0101,P_HTHAB,FI	1.70 	1.72 	1.50 	1.72 	1.34 	1.75 	2.12 	2.05 	1.97 	1.98 	2.49 	2.49 	2.59 	3.02 
ICCS0101,P_HTHAB,FR	1.08 	1.03 	1.12 	1.04 	1.06 	1.17 	1.32 	1.16 	1.22 	1.25 	1.35 	1.23 	1.25 	1.52 
ICCS0101,P_HTHAB,HR	0.82 	0.99 	0.81 	0.58 	1.11 	1.05 	0.88 	0.85 	1.08 	1.19 	1.14 	1.44 	1.14 	1.65 
ICCS0101,P_HTHAB,HU	0.69 	0.79 	0.59 	0.85 	0.87 	0.93 	2.05 	1.31 	1.39 	1.14 	1.42 	1.33 	1.39 	1.46 
ICCS0101,P_HTHAB,IE	0.44 	0.66 	0.67 	0.81 	0.82 	0.72 	0.64 	1.15 	1.11 	1.13 	0.92 	1.21 	1.17 	1.14 
ICCS0101,P_HTHAB,IS	0.54 	0.82 	0.28 	0.57 	0.89 	0.30 	0.91 	0.61 	0.31 	0.31 	0.94 	0.63 	0.31 	0.00 
ICCS0101,P_HTHAB,IT	0.51 	0.48 	0.53 	0.59 	0.62 	0.67 	0.77 	0.80 	0.85 	0.89 	0.93 	0.89 	1.00 	1.05 
ICCS0101,P_HTHAB,LI	: 	2.58 	0.00 	2.62 	2.64 	0.00 	0.00 	2.69 	0.00 	0.00 	0.00 	2.79 	0.00 	2.83 
ICCS0101,P_HTHAB,LT	2.50 	3.54 	3.01 	3.45 	3.97 	4.92 	5.75 	5.27 	5.79 	6.03 	6.19 	6.33 	7.54 	8.90 
ICCS0101,P_HTHAB,LU	0.47 	0.32 	0.65 	0.50 	0.34 	0.87 	0.89 	0.73 	0.37 	0.57 	0.78 	1.59 	1.01 	1.45 
ICCS0101,P_HTHAB,LV	5.18 	4.88 	4.74 	5.22 	5.59 	5.64 	4.08 	3.85 	3.41 	4.74 	3.33 	3.30 	4.99 	4.52 
